case,method,threshold,time_s,vertices,faces,vol_err_pct,area,surf_to_part_median
block_small,ours,,0.033,1152,2300,-0.0619,2.5102,0.067
block_small,splashsurf,t0.2,0.004,1446,2888,+39.9403,3.3343,0.11
block_small,splashsurf,t0.3125,0.002,1350,2696,+26.2784,3.1149,0.097
block_small,splashsurf,t0.4,0.002,1326,2648,+16.8965,2.9699,0.088
block_small,splashsurf,t0.5,0.002,1326,2648,+6.8132,2.8155,0.078
block_small,splashsurf,t0.6,0.003,1542,3080,-2.8686,2.6669,0.07
block_noboundary,ours,,0.073,1152,2300,-0.0619,2.5102,0.067
block_noboundary,splashsurf,t0.2,0.002,1446,2888,+39.9403,3.3343,0.11
block_noboundary,splashsurf,t0.3125,0.002,1350,2696,+26.2784,3.1149,0.097
block_noboundary,splashsurf,t0.4,0.001,1326,2648,+16.8965,2.9699,0.088
block_noboundary,splashsurf,t0.5,0.001,1326,2648,+6.8132,2.8155,0.078
block_noboundary,splashsurf,t0.6,0.002,1542,3080,-2.8686,2.6669,0.07
block_boundaries,ours,,0.046,1512,3016,-2.4107,3.0822,0.066
sparse,ours,,0.053,1634,3260,-0.0004,2.5597,0.062
sparse,splashsurf,t0.2,0.002,1524,3040,+40.9122,3.4742,0.11
sparse,splashsurf,t0.3125,0.002,1404,2800,+26.7664,3.2169,0.097
sparse,splashsurf,t0.4,0.001,1380,2752,+17.1375,3.0489,0.088
sparse,splashsurf,t0.5,0.001,1380,2752,+6.8405,2.8713,0.078
sparse,splashsurf,t0.6,0.003,1572,3136,-2.9750,2.7046,0.07
wave_tank,ours,,0.271,463290,926576,+0.0647,5.0952,0.0038
wave_tank,splashsurf,t0.2,0.439,468528,937052,+4.7656,5.2596,0.0075
wave_tank,splashsurf,t0.3125,0.425,467252,934500,+3.3470,5.2394,0.0067
wave_tank,splashsurf,t0.4,0.442,466992,933980,+2.2917,5.2228,0.0061
wave_tank,splashsurf,t0.5,0.437,466992,933980,+1.0969,5.2059,0.0054
wave_tank,splashsurf,t0.6,0.425,519076,1038148,-0.1020,5.1898,0.0048
